"id","numero_carte_credit","solde","client_id"
"1","3766-731349-69898","4350.98","1"
"2","4580-9612-4812-4904","4459.2","2"
"3","6759-5472-4795-5610-59","6247.41","3"
"4","4113-6160-3549-9895","1904.38","4"
"5","3764-181933-60765","6790.75","5"
"6","3746-914297-92959","3458.07","6"
"7","5019-8946-5698-3602","376.04","7"
"8","3688-572992-5661","6920.9","8"
"9","6759-7654-2441-8704-203","2619.94","9"
"10","6706604020609452","2812.73","10"
"11","3785-672015-93920","8072.2","11"
"12","6771-8914-0227-8705","3524.81","12"
"13","6558-3700-8102-1081","2220.3","13"
"14","6304213582777321","9129.8","14"
"15","6771568380882597","1421.45","15"
"16","6771-8992-6119-2594","258.02","16"
"17","6011-6203-3633-5649-1074","1486.25","17"
"18","6304125426503665","6342.34","18"
"19","6709308430253243","3127.18","19"
"20","6759-0710-6760-8000-509","4976.42","20"
"21","4357931414718","1612.27","21"
"22","6771-8986-5067-1143","2767.93","22"
"23","6767-6724-9060-3723","4499.96","23"
"24","5019-5079-7348-5123","1659.98","24"
"25","3688-385505-8233","8139.37","25"
"26","6706817964782131","5674.82","26"
"27","6538-6213-1430-2854-7137","184.44","27"
"28","6759-3675-7433-3160","4868.98","28"
"29","6767-5048-4166-2555-867","3306.89","29"
"30","3680-504214-7785","7859.59","30"
"31","6011-6261-7914-0595-3224","6650.97","31"
"32","3680-614462-5710","7359.56","32"
"33","6007-2210-3975-4272","1652.39","33"
"34","6706700966935826","3419.99","34"
"35","3780-125356-97410","9648.01","35"
"36","6007-2256-4435-9526","1059.09","36"
"37","6767-8104-4514-8312-213","2879.27","37"
"38","6771132650200806","6852.9","38"
"39","6709998157149879","7661.96","39"
"40","4731-4898-7592-5771","6276.48","40"
"41","6759-3354-3863-2034-93","7485.49","41"
"42","6767-2131-2764-5694-67","8422.32","42"
"43","4616113312200","542.77","43"
"44","6706702782724400","1665.31","44"
"45","3681-720532-8854","6380.12","45"
"46","3476-333060-63132","6083.57","46"
"47","6767-6030-5490-8711","5531.73","47"
"48","3719-038359-17416","7302.65","48"
"49","4988-4715-2473-4424","2847.24","49"
"50","5019-9698-4117-2871","7686.13","50"
"51","3683-642984-4447","496.09","51"
"52","6759-7719-9080-7055","760.08","52"
"53","4694322744356","932.82","53"
"54","6007-2266-6989-2961","9037.68","54"
"55","6007-2232-4193-5327","2915.37","55"
"56","3799-233218-79765","7899.72","56"
"57","6706766643885155","1897.49","57"
"58","3488-881008-28143","1724.34","58"
"59","6767-3246-2657-6452","1002.56","59"
"60","6767-0810-6150-1391-587","5269.08","60"
"61","6771-8907-9366-3251","1070.88","61"
"62","4457-5911-8592-0863","4791.34","62"
"63","6771082719456602","562.03","63"
"64","3687-239088-0607","5195.88","64"
"65","6767-9391-9881-9756","9023.14","65"
"66","6767-1432-7145-9115","4289.89","66"
"67","6767-2720-7086-3053-72","3608.34","67"
"68","6771-8922-3523-0657","6128.12","68"
"69","3528-8313-9570-9152","2825.02","69"
"70","3528-7463-5346-7090","4063.2","70"
"71","3528-5950-1400-2709","4490.5","71"
